Year,Facility,Class,All Delays,All Avg. min.,all Total min.,Weather Number of Delays,Weather avg,Weather total,volume number of delays,volume avg,volume total,Equipment number of delays,Equipment avg.,Equipment total,runway number of delays,runway avg.,runway total,Other number of delays,other avg.,other total
2004,VNY,Towers with Display (VFR),2,40,79,1,42,42,1,37,37,0,0,0,0,0,0,0,0,0
2004,VNY,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ABQ,Combined TRACON & Tower with Radar,6,59,356,3,89,267,3,30,89,0,0,0,0,0,0,0,0,0
2005,ANC,Towers with Radar,546,34,18631,70,29,2025,79,25,1995,29,27,783,169,26,4462,199,47,9366
2005,ATL,Towers with Radar,37608,65,2460357,36291,66,2402191,977,37,35921,9,70,634,130,59,7609,201,70,14002
2005,AUS,Combined TRACON & Tower with Radar,8,35,281,3,28,84,4,28,113,0,0,0,0,0,0,1,84,84
2005,BDL,Towers with Radar,76,62,4699,62,63,3917,2,34,68,1,19,19,2,22,44,9,72,651
2005,BHM,Combined TRACON & Tower with Radar,121,40,4804,28,53,1486,86,33,2817,1,152,152,3,20,59,3,97,290
2005,BNA,Combined TRACON & Tower with Radar,20,56,1120,19,58,1093,1,27,27,0,0,0,0,0,0,0,0,0
2005,BOS,Towers with Radar,9023,66,592384,7504,66,495160,114,37,4274,304,95,28923,887,60,52976,214,52,11051
2005,BUF,Combined TRACON & Tower with Radar,19,49,926,11,50,545,2,24,47,0,0,0,5,63,316,1,18,18
2005,BUR,Towers with Radar,62,43,2655,27,60,1627,24,25,599,0,0,0,3,48,145,8,36,284
2005,BWI,Towers with Radar,1017,67,67896,907,71,64439,78,28,2146,1,32,32,9,25,225,22,48,1054
2005,CLE,Combined TRACON & Tower with Radar,934,50,47001,572,64,36561,320,26,8467,0,0,0,3,62,187,39,46,1786
2005,CLT,Combined TRACON & Tower with Radar,3637,35,128774,1454,51,74432,1227,22,27148,36,37,1322,834,27,22702,86,37,3170
2005,CVG,Combined TRACON & Tower with Radar,2722,32,87072,1378,41,56834,474,27,12781,57,19,1061,757,20,14994,56,25,1402
2005,DAL,Towers with Radar,135,45,6089,76,63,4797,30,24,710,2,42,84,0,0,0,27,18,498
2005,DAY,Combined TRACON & Tower with Radar,8,54,429,8,54,429,0,0,0,0,0,0,0,0,0,0,0,0
2005,DCA,Towers with Radar,1511,60,90581,1194,69,81886,107,27,2850,2,33,66,75,27,2054,133,28,3725
2005,DEN,Towers with Radar,711,48,33929,633,49,31168,12,25,297,31,43,1343,2,18,36,33,33,1085
2005,DFW,Towers with Radar,3200,40,126654,2442,45,109607,61,29,1793,12,26,314,384,23,8982,301,20,5958
2005,DTW,Towers with Radar,3541,43,153242,1848,59,108873,1003,27,27294,33,58,1920,583,20,11839,74,45,3316
2005,EWR,Towers with Radar,35324,61,2153165,23840,76,1818451,7129,32,226881,40,33,1322,3869,22,85342,446,47,21169
2005,FLL,Towers with Radar,8369,40,336681,2264,61,137352,5582,33,184067,62,30,1887,181,22,4020,280,33,9355
2005,HNL,Towers with Radar,4,21,84,2,21,41,0,0,0,1,25,25,1,18,18,0,0,0
2005,HOU,Towers with Radar,672,51,34250,299,66,19594,84,35,2966,0,0,0,276,40,11028,13,51,662
2005,HPN,Towers with Radar,285,56,15973,124,81,10069,157,36,5615,0,0,0,0,0,0,4,72,289
2005,IAD,Towers with Radar,9962,51,509632,5083,68,348066,3675,34,126447,33,43,1420,942,24,22953,229,47,10746
2005,IAH,Towers with Radar,9882,33,330960,5495,43,236813,3362,21,71520,13,50,648,917,22,19765,95,23,2214
2005,IND,Combined TRACON & Tower with Radar,62,64,3992,42,82,3427,9,24,220,0,0,0,0,0,0,11,31,345
2005,ISP,Towers with Radar,59,85,5011,47,87,4077,0,0,0,0,0,0,2,44,87,10,85,847
2005,JAX,Combined TRACON & Tower with Radar,53,43,2257,43,47,2000,1,27,27,4,19,74,0,0,0,5,31,156
2005,JFK,Towers with Radar,13252,37,484535,4287,58,249167,1533,28,43012,98,27,2616,4602,26,120950,2732,25,68790
2005,LAS,Towers with Radar,8941,40,358332,4086,56,228917,603,26,15478,50,28,1416,3994,27,108178,208,21,4343
2005,LAX,Towers with Radar,1597,27,43766,844,30,25404,348,22,7502,5,50,251,307,24,7360,93,35,3249
2005,LGA,Towers with Radar,24953,61,1515970,20151,67,1360072,2454,35,85776,253,49,12460,1883,25,46666,212,52,10996
2005,LGB,Towers with Radar,52,31,1600,12,49,582,17,21,353,8,33,261,8,32,252,7,22,152
2005,MCI,Combined TRACON & Tower with Radar,18,58,1044,13,72,938,5,21,106,0,0,0,0,0,0,0,0,0
2005,MCO,Combined TRACON & Tower with Radar,471,55,26106,421,59,24647,19,29,554,23,23,532,2,23,46,6,55,327
2005,MDW,Towers with Radar,1302,58,74999,979,68,66322,294,26,7538,1,19,19,20,46,917,8,25,203
2005,MEM,Combined TRACON & Tower with Radar,1109,33,36063,674,38,25938,360,23,8259,0,0,0,34,25,845,41,25,1021
2005,MHT,Towers with Radar,26,45,1176,14,54,753,2,55,109,5,17,87,0,0,0,5,45,227
2005,MIA,Combined TRACON & Tower with Radar,1069,39,41507,802,42,33449,44,25,1109,81,44,3601,71,25,1793,71,22,1555
2005,MKE,Combined TRACON & Tower with Radar,18,48,865,18,48,865,0,0,0,0,0,0,0,0,0,0,0,0
2005,MSP,Towers with Radar,2207,51,112438,1539,62,94671,122,28,3398,1,56,56,362,22,8076,183,34,6237
2005,MSY,Combined TRACON & Tower with Radar,18,57,1034,7,49,344,0,0,0,1,32,32,0,0,0,10,66,658
2005,OAK,Towers with Radar,288,24,6783,114,27,3101,51,21,1060,11,27,299,73,20,1442,39,23,881
2005,OGG,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,OMA,Towers with Radar,5,58,292,1,190,190,0,0,0,0,0,0,0,0,0,4,26,102
2005,ONT,Towers with Radar,47,31,1469,7,35,247,22,27,600,0,0,0,13,37,482,5,28,140
2005,ORD,Towers with Radar,54204,53,2864952,43451,59,2566842,5919,26,151853,348,42,14682,3716,28,103151,770,37,28424
2005,PBI,Combined TRACON & Tower with Radar,1369,40,55177,366,51,18515,599,40,23696,1,23,23,388,33,12622,15,21,321
2005,PDX,Towers with Radar,49,25,1215,22,32,704,15,16,244,0,0,0,3,21,63,9,23,204
2005,PHL,Combined TRACON & Tower with Radar,26785,49,1307320,19556,58,1128259,1914,25,47652,316,41,13090,3383,22,73875,1616,28,44444
2005,PHX,Towers with Radar,13040,24,318283,3921,36,139846,678,25,17151,90,24,2115,8112,19,153560,239,23,5611
2005,PIT,Combined TRACON & Tower with Radar,146,40,5785,63,57,3566,14,40,559,9,26,234,0,0,0,60,24,1426
2005,PSP,Combined TRACON & Tower with Radar,14,40,557,3,62,187,3,64,192,5,20,99,2,27,54,1,25,25
2005,PVD,Combined TRACON & Tower with Radar,149,51,7541,115,49,5643,13,24,315,0,0,0,12,67,799,9,87,784
2005,RDU,Combined TRACON & Tower with Radar,67,51,3409,55,53,2921,0,0,0,0,0,0,2,37,74,10,41,414
2005,RFD,Combined TRACON & Tower with Radar,1,25,25,0,0,0,0,0,0,1,25,25,0,0,0,0,0,0
2005,RSW,Combined TRACON & Tower with Radar,228,42,9637,72,55,3960,141,37,5228,0,0,0,0,0,0,15,30,449
2005,SAN,Towers with Radar,768,43,33246,546,45,24613,74,32,2340,0,0,0,142,43,6111,6,30,182
2005,SAT,Combined TRACON & Tower with Radar,7,36,252,7,36,252,0,0,0,0,0,0,0,0,0,0,0,0
2005,SDF,Combined TRACON & Tower with Radar,124,41,5052,56,38,2104,48,41,1984,0,0,0,15,52,778,5,37,186
2005,SEA,Towers with Radar,573,38,21677,443,35,15481,30,22,659,66,71,4671,18,18,329,16,34,537
2005,SFO,Towers with Radar,8332,61,506782,7586,64,483654,131,32,4209,103,24,2500,355,36,12810,157,23,3609
2005,SJC,Towers with Radar,65,52,3404,34,79,2702,17,21,354,3,24,73,3,41,123,8,19,152
2005,SJU,Towers with Radar,22,36,792,3,32,97,18,37,664,0,0,0,0,0,0,1,31,31
2005,SLC,Towers with Radar,662,32,21115,328,33,10750,74,26,1891,46,51,2330,100,29,2872,114,29,3272
2005,SMF,Towers with Radar,8,50,403,6,31,185,2,109,218,0,0,0,0,0,0,0,0,0
2005,SNA,Towers with Radar,1348,20,27533,22,53,1162,16,22,353,18,38,683,1282,19,24953,10,38,382
2005,STL,Towers with Radar,194,54,10407,173,58,9948,6,18,107,1,42,42,0,0,0,14,22,310
2005,TEB,Towers with Radar,5333,54,287271,1453,75,109584,1570,45,71414,3,27,81,1421,42,60390,886,52,45802
2005,TPA,Combined TRACON & Tower with Radar,297,44,13139,222,51,11241,10,28,277,19,29,542,34,22,733,12,29,346
2005,TUS,Towers with Radar,19,43,815,5,53,263,7,30,212,0,0,0,6,47,282,1,58,58
2005,VNY,Towers with Radar,104,21,2190,5,25,124,87,20,1764,0,0,0,1,35,35,11,24,267
2006,ABQ,Combined TRACON & Tower with Radar,6,70,417,5,77,386,0,0,0,0,0,0,0,0,0,1,31,31
2006,ANC,Towers with Radar,597,28,16478,338,28,9368,49,29,1438,0,0,0,100,30,2992,110,24,2680
